id,text,description
10,脈がない,人物：短髪で制服姿の少年、顔を大きく前に出している;表情：驚愕と恐怖、目を見開き汗をかいている;背景：背景は白で場所や時間帯は描写なし;効果：汗や目の強調、セリフの吹き出しが緊迫感を演出;トーン：シリアスで緊張感のある雰囲気;印象：不吉な予感や異常事態への不安が強く伝わる
11,生き返れ,人物：若い男性が汗を流し、年配の男性が酸素チューブをつけて横たわる。;表情：若い男性は必死で切迫した表情、年配男性は無表情。;背景：青い色調で病院など緊急の場面を想起させる。;効果：集中線や水滴による緊張感の強調。;トーン：切迫感と緊張感が支配的。;印象：命の重みや諦めない心が強く伝わるシーン。
12,だまって死ぬのを見てろって言うんですか・・・？,人物：短髪の少年、制服姿、少し前傾で口を開け発言;表情：眉をひそめ目を見開き、怒りや焦りが伺える;背景：背景は白、場所や時間の情報は描かれていない;効果：汗や斜線で緊張感、セリフ強調の吹き出し;トーン：シリアスで緊迫感が強い;印象：葛藤や正義感が読み取れ、読者に強い訴えが伝わる
13,ヒゲが伸びている・・・,人物：短髪の男性、眉が太く目元が鋭い、顔のアップ;表情：真剣で少し驚いた様子、眉間にしわ;背景：背景は白く、場所や時間は描かれていない;効果：集中線や細かい陰影で目元を強調;トーン：緊張感があり硬い雰囲気;印象：些細な発見にも強い意識が向けられていることが伝わる
14,僕は医者だ・・・！！,人物：若い男性、シャツとネクタイ姿、上を見上げる力強い姿勢;表情：真剣で決意に満ちた表情;背景：白背景で場所や時間帯は特定不可;効果：影のコントラスト、強調された表情、力強いセリフ;トーン：緊張感と決意が強調された雰囲気;印象：全力で使命感や覚悟が伝わり、読者に強い印象を与える
15,そのくらいの覚悟だ！,人物：眼鏡をかけた中年男性、スーツ姿、上半身を前に傾け威圧的;表情：険しい眉、鋭い目線、冷静ながらも緊張感;背景：黒い影が多く、場所特定できず、重苦しい雰囲気;効果：集中線・黒ベタで緊張感強調;トーン：全体的に暗く、緊張感が漂う;印象：強い覚悟や圧力を突きつけられる印象
16,お前らも脱げ,人物：筋肉質の男性が白ふんどし姿で立つ、後ろに温泉マーク付き浴衣の人物2人;表情：ふんどしの男性は真剣な表情;背景：明確な背景はなく、室内のような白い空間;効果：集中線や擬音語はなく、セリフの強調のみ;トーン：ややコミカルで異様な緊張感;印象：読者にインパクトと一種の緊張感、奇抜さを与える
17,（パチパチパチ）,人物：眼鏡をかけた男性、和服姿、横顔、手を叩いている;表情：真剣で落ち着いた表情;背景：白背景、場所や時間帯の詳細なし;効果：拍手の擬音語「パチ」、手を叩く動きを強調;トーン：静かで緊張感のある雰囲気;印象：冷静な賞賛や承認の意志が伝わる
18,（ウオォォォ）,人物：中央に眼鏡をかけた年配の人物と、その周囲に複数の人々が立つ;表情：中央人物は無表情またはやや不機嫌、周囲は表情が目立たない;背景：屋内、ステージ上、観客らしき集団の前;効果：拍手の擬音「パチ」、集中線による強調;トーン：やや緊張感があり、重々しい雰囲気;印象：集団の注目を集め圧力が感じられ、評価や審判の瞬間を想起させる
19,（バッ）,人物：短髪、サングラス、筋肉質な男性、上半身裸でふんどし、ガウンを脱いでいる;表情：口を引き結び、真剣かつ冷静な印象;背景：白背景に集中線、場所や時間帯の詳細は描写なし;効果：集中線や速度線で動きと緊迫感を強調;トーン：緊張感とインパクトが強く、やや異様な雰囲気;印象：圧倒的な自信と異様な存在感、行動の大胆さが伝わる
20,万歳〜〜〜!!,人物：下着姿の男性多数と、空中に高く投げ上げられた一人;表情：投げられた人物は驚きまたは困惑の表情;背景：白背景で詳細なし、屋内外不明;効果：擬音語なし、視線を集める構図;トーン：明るくコミカルな雰囲気;印象：集団の勢いとユーモア、祝いの高揚感が伝わる
21,これが医者の世界だ,人物：二人の男性が温泉に浸かり、頭にタオルを乗せている。<br>;表情：左は驚き、右は真剣で冷静な表情。<br>;背景：屋外の温泉、岩や木の塀が見える。<br>;効果：集中線や擬音語はなく、静かな雰囲気。<br>;トーン：穏やかで落ち着いた雰囲気。<br>;印象：医師の世界の奥深さや落ち着きを感じさせる。
22,（スパーーーーッ）,人物：ショートヘアの女性、カジュアルな服、斜め横顔でタバコを持ち吸っている姿勢;表情：目を細めて無表情、落ち着いた雰囲気;背景：単色で無地、場所や時間帯は不明;効果：煙の軌跡と「スパーッ」という擬音語;トーン：静寂で大人っぽい、淡々とした雰囲気;印象：落ち着きやクールさ、日常の一瞬を切り取った印象
23,不満があるなら自分が権力を握って帰るしかないんじゃないのか？,人物：眼鏡をかけた男性、きりっとした眉、顔の一部だけがアップ;表情：鋭い視線で真剣かつ挑戦的;背景：背景はほぼなし、白くシンプル;効果：顔に影と集中線状の陰影、強調効果;トーン：緊張感と重みのある雰囲気;印象：現実を突きつけられるような強いメッセージ
24,暑いです,人物：短髪の女性、黒いシャツ、サングラスを胸元にかけている、汗をかいている;表情：汗をかきつつ顔をしかめ、不快感や暑さにイライラしている;背景：白一色で描写なし、場面や時間帯は不明;効果：汗、頬の線で暑さと不快感を強調;トーン：やや重苦しく暑さでうんざりした雰囲気;印象：夏の暑さが伝わり、共感や苦労が感じられる
25,もういい手術だ。こんなんなってから持ってきやがって。,人物：中年男性、メガネ、ヒゲ、スーツ姿、前傾で顔を強調;表情：激しい怒りや苛立ち、睨みつけている;背景：室内、背景はシンプルで絵柄なし;効果：顔の輪郭を強調する太線、セリフの配置で緊張感;トーン：暗く重苦しい、切迫した雰囲気;印象：威圧的で冷淡、相手への強い不満や絶望感が伝わる
26,ねえ坊や・・・オレ達はいつもお前らの尻拭いをしてやってるんだよ・・・,人物：中年男性、スーツ姿、ネクタイ、やや猫背で前傾姿勢;表情：目を大きく見開き、不気味な笑みで不穏さを漂わせている;背景：グラデーションのトーン処理で場所や時間帯の特定は困難;効果：顔に強い陰影とトーンでインパクトと緊張感を強調;トーン：全体的に暗く、不気味で緊張感のある雰囲気;印象：読者に不安や警戒心、底知れぬ恐怖を与える
27,だから一流はアブナイのよ,人物：ショートヘアで切れ長の目、口元にほくろ、黒い服、上半身のアップ;表情：自信に満ちた微笑み、挑発的で余裕のある目つき;背景：暗いグラデーショントーン、場所や時間帯の特定は困難;効果：顔に影とトーンが強調され、緊張感を演出;トーン：シリアスでクール、危険を感じさせる雰囲気;印象：読者に知性と危うさ、カリスマ性を強く伝える
28,こじつけだよ,人物：メガネをかけた男性、作業着姿で腕を後ろに組んでいる;表情：やや冷めた、警戒心を持つような表情;背景：室内、扉がありシンプルな環境;効果：背景に細かなトーン処理、集中線などはなし;トーン：静かでやや緊張感のある雰囲気;印象：警告や警戒を感じさせる場面、疑念や不信感を読者に与える
29,仕事は山積みなんだ。余計な頭を使って仕事を遅らせるな…,人物：スーツ姿の男性2人、片方が背中を見せ手を組む;表情：顔は見えないが、厳しさや緊張感が漂う;背景：室内、壁などの描写は少なく場所の特定は困難;効果：網点や陰影で落ち着いた雰囲気を強調;トーン：暗く、圧迫感や重苦しさ;印象：上司の叱責、業務の厳しい現場を感じさせる
30,おいそこの弁当の買い出しに行け,人物：短髪でスーツ姿、腕組みした中年男性、胸ポケットにペンあり;表情：無表情で冷静、やや命令的な雰囲気;背景：白くシンプルな背景、場所や時間帯の情報なし;効果：特に視覚効果なし、セリフの強調のみ;トーン：淡々とした、やや冷たい雰囲気;印象：事務的で威圧感があり、従わせるメッセージが強い
31,僕は…なんのためにこんな事をしているんだ…？,人物：黒髪で前髪が長く、汗だくの若い男性がうつむき気味に描かれている。;表情：眉をひそめ、目がうつろで強い不安と混乱を感じる。;背景：背景は暗く、線が重なり抽象的で具体的な場所は不明。;効果：汗、スピード線、集中線、「…？」の擬音語で動揺を強調。;トーン：全体的に暗く、重苦しい雰囲気が漂う。;印象：追い詰められ自問自答する姿に読者も不安や緊張感を感じる。
32,だって…だって…,人物：少年、短髪、制服、肩を震わせうつむいている。;表情：涙を流し、歯を食いしばり、激しく動揺・怒り・悲しみが混在。;背景：シンプルで描写なし、キャラクターの感情に集中。;効果：線やトーンで汗や涙を強調、緊張感重視の描写。;トーン：暗く重苦しい、感情の高まりを強調。;印象：苦しみや葛藤が激しく伝わり、読者も胸が締め付けられる。
33,ビンビンだぜイエーーーー！！,人物：女性がワンピース姿で後ろ向きに立ち、車が正面から向かってくる。;表情：女性の表情は見えないが、立ち尽くしている様子から驚きや困惑を感じさせる。;背景：田舎道のような未舗装道路、周囲は草むら、時間帯は不明。;効果：スピード線、集中線、擬音語「ブォーー」で車のスピード感を強調。;トーン：緊張感と勢いのある場面。;印象：疾走感と突然の出来事の衝撃が伝わり、読者は先の展開に引き込まれる。
34,だったらやる事は決まってるじゃない！,人物：短髪で大きな目、唇に特徴、顔にほくろ、女性、アップ描写;表情：自信に満ちた鋭い眼差しと微笑み;背景：背景なし、人物に集中;効果：集中線や擬音語なし、顔の陰影で強調;トーン：明るく強い意志を感じさせる雰囲気;印象：読者に行動力と決断力を強く印象付ける
35,すいません… 僕に３万円貸してください,人物：ネクタイ姿の青年が汗をかきながらお辞儀、前に座る女性はラフな服装で後ろ姿。;表情：青年は焦りと緊張が見え、必死な様子。;背景：草地や地面が描かれた屋外、時間帯は不明。;効果：お辞儀の動きを示す「ぺこ。」、汗の描写で緊張感強調。;トーン：全体的に切迫感と不安が漂う。;印象：読者に緊急性と人物の困窮が伝わる場面。
36,時間がないんです…,人物：髪が濡れた短髪の若い男性、シャツ姿、前のめりの体勢;表情：汗だくで目が見開き、必死さと焦りがにじむ;背景：詳細な描写なし、場所や時間は不明;効果：汗の描写とトーンで緊迫感を表現;トーン：切迫感と焦燥が強い緊張した雰囲気;印象：追い詰められた状況で危機感や緊急性が伝わる
37,5年後にも同じ事をしてなかったら…アンタ…ニセモノだぜ,人物：中年男性、濃い眉毛、縮れた黒髪、柄物の服、正面を向いている;表情：鋭い目つきとへの字口で厳しい、真剣な心理状態;背景：白背景、場所や時間帯の情報なし;効果：細かい線によるリアルな質感、セリフの強調;トーン：重く緊張感のある雰囲気;印象：厳しい忠告や覚悟を促すメッセージが強く伝わる
38,技術は基本だ　もっと大事なのは想像力だよ,人物：短髪でくせ毛、太い眉、スーツ風の服、正面を向き姿勢が良い;表情：真剣で厳しい目つき、落ち着いた口元;背景：背景は白く、場所や時間帯は描写なし;効果：集中線や擬音語なし、シンプルな構図;トーン：全体的に硬く重い、緊張感のある雰囲気;印象：説得力や威圧感、言葉の重みを感じさせる
39,すまない…アンタの力にはなれない…,人物：中年男性、太い眉、着物風の服装、顔に皺が多い、アップの描写;表情：苦悩と謝罪が混じった厳しい表情;背景：背景なし、キャラクターに焦点;効果：細かい陰影と線で重厚感強調、集中線なし;トーン：暗く重い、緊張感が漂う;印象：葛藤や諦め、無力感が読者に伝わる
40,Oh~yes~~Just a minute すぐ行くべー,人物：中年男性、麦わら帽子、Tシャツ、タオルを首にかけ、片手をあげている;表情：口を開けてやや無表情、余裕や軽い返事の雰囲気;背景：白背景で場所や時間は不明、詳細な描写なし;効果：視覚効果なし、台詞の吹き出しのみ;トーン：落ち着いた雰囲気、日常的;印象：のんびりした対応で、急ぎすぎない姿勢が伝わる
41,クビ？ハラキリ？社会不適合者？,人物：左から少年、少女、青年で、カジュアルな服装、真正面を向いて直立;表情：驚きや困惑、無表情ぎみで冷静さも感じる;背景：白一色で、場所や時間帯の情報なし;効果：セリフの吹き出しのみで、視覚効果は最小限;トーン：淡々とした雰囲気で静けさが強い;印象：言葉の重さと無機質さが際立ち、読者に緊張感や違和感を与える
42,え・・・？クビ・・・？,人物：髪が長めの若者、スーツ姿、受話器を持ちながら驚いた様子で立っている。;表情：目を見開き、驚きと混乱、動揺が読み取れる。;背景：詳細な描写なし、白地で人物を強調。;効果：集中線や斜線で動揺を表現、吹き出しから間の長さを強調。;トーン：緊張感と衝撃が強く、場面が重い雰囲気。;印象：突然のショックや信じがたい出来事に直面した動揺が伝わる。
43,キミ…ウワサになってるよ…,人物：長い前髪の女性、顔が大きくアップで描かれ、服装は不明;表情：見開いた目で真剣かつ緊張した印象;背景：背景はシンプルで省略され、場所や時間帯は不明;効果：細かいトーンとハッチングで心理的緊張感を演出;トーン：全体的に暗く、重い雰囲気;印象：核心を突く台詞で、読者に緊張や不安を与える
44,お母さんあんたば信じてるからね！あんたば信じてるからね！,人物：前髪が長く目元が強調されたキャラクター、顔の一部と大きな目が描かれている;表情：見開いた目で強い感情や切迫感、必死さが読み取れる;背景：背景はなく、目のアップに集中した構図;効果：集中線やクロスハッチングで緊張感を演出;トーン：全体的に暗く、緊張感や切実さが漂う雰囲気;印象：読者に強い意志や思いの強さ、絶対的な信頼を感じさせる
45,教授回診ーー藤井教授回診が始まりまーす！！,人物：男性医師数名、全員白衣・スーツ姿、中心人物は口ひげありで堂々と歩く;表情：顔は詳細に描かれていないが、真剣で威厳ある印象;背景：病院の廊下、明るい照明、扉が並ぶ;効果：集中線やスピード線で迫力と威圧感を強調;トーン：緊張感と荘厳さの漂う雰囲気;印象：権威や権力の強さ、回診の重々しさが伝わる
46,特に異常はないねバアさん,人物：中年男性、口ひげ、短髪、スーツ風の服、上半身のみ描写;表情：落ち着いた表情、少し無表情、冷静に見える;背景：単色のぼかし、時間帯や場所は特定不可;効果：視覚効果は特になし、吹き出しのみ;トーン：落ち着いた雰囲気、緊張感は薄い;印象：冷静に状況を説明する場面、安心感や平穏さが伝わる
47,閉めるな,人物：口ひげの中年男性、スーツ姿、肩越しに振り向く姿勢;表情：半目で睨むような冷静さと威圧感;背景：モノトーンの点描、室内の描写なし;効果：線の効果控えめ、集中線なし;トーン：緊張感が漂う重い雰囲気;印象：読者に強い存在感と命令の重さを伝える
48,今更何言ってやがる…アンタは口だけじゃないか…！,人物：無精ひげの男性、太い眉、汗をかき険しい表情、顔のアップ。;表情：怒りや苛立ち、不信感が強く現れている。;背景：暗く、詳細は描かれていないが緊迫した空間。;効果：集中線や白抜きで視線を強調。;トーン：重く緊張感のある雰囲気。;印象：強い対立や疑念、相手への不信が直接伝わる。
49,わかんねぇもう何を信じたらいいんだか…,人物：無精髭の男性、汗をかき苦悩の表情、顔を近づけ俯せの姿勢。;表情：絶望や困惑が強く表れ、目を見開き苦しそう。;背景：背景描写なし、キャラクターの顔が画面の大部分を占める。;効果：集中線やスピード線はなく、汗と線画で緊迫感を表現。;トーン：重苦しく暗い、強い緊張と葛藤が漂う。;印象：信頼や希望を失った絶望感が痛烈に伝わるシーン。
50,断る,人物：短髪でスーツ姿の中年男性、横顔で立っている;表情：眉をひそめた真剣な表情、決意が感じられる;背景：荒波が打ち寄せる海辺、曇り空、夕方または曇天;効果：波の激しさを強調する描線、セリフの吹き出し;トーン：暗く重い雰囲気、緊張感と決意が漂う;印象：強い意思と拒絶のメッセージが強く伝わる
51,なんか嫌です！,人物：スーツ姿の男性二人、手前は後ろ姿、奥は髪が乱れ拳を握る若者;表情：奥の人物は顔を赤らめ怒りや反発の感情が読み取れる;背景：背景は真っ白で場所や時間帯の詳細は不明;効果：奥の人物の髪やスーツの動きで勢いが強調;トーン：緊張感があり、対立や拒絶の雰囲気;印象：強い拒否や反発の意思がストレートに伝わる
52,ほんの少しだって…悔いは残したくないんだ…！！,人物：無精ひげで汗だく、険しい目つきの中年男性、寝そべった姿勢;表情：目を見開き歯を食いしばる、強い決意と苦悩がにじむ;背景：平坦な地面、詳細な描写は少なく場所や時間は不明;効果：汗、影、濃い線で緊張感・焦燥感を強調;トーン：暗く重苦しい、切迫感と後悔への強い拒絶;印象：死や極限状況での強い意志と苦しみが迫ってくる
53,なぜ…こんな事が許されるんだ…！？,人物：太い眉、鋭い目つき、マスクと手術着を着た男性、少しうつむき気味;表情：驚愕と困惑、額や頬に汗;背景：背景は省略され、場所や時間帯は特定できない;効果：汗と影線が緊張感を強調;トーン：重苦しく緊張感のある雰囲気;印象：深刻な事態への疑問や葛藤が読者に強く伝わる
54,何をやっとるかアアア！！,人物：若い男性がシャツ姿で中腰、もう一人はスーツ姿で背を向けている;表情：若い男性は驚きと警戒、スーツの男は怒り;背景：屋内、雨が降る外と接している玄関付近;効果：雨の線や擬音で緊張感を強調;トーン：暗くて緊迫した雰囲気;印象：緊張が高まり、衝突や事件の予感を与える
55,何やってる…？,人物：短髪でがっしりした体格、黒いシャツに白いズボン、胸元に刺青が見える男性、直立の姿勢。;表情：眉をひそめて口を結び、不審や困惑の表情。;背景：カーテン付きのドア、室内、夜か薄暗い室内。;効果：ベタやトーンで陰影を強調、集中線や擬音語なし。;トーン：緊張感があり、やや重い雰囲気。;印象：突然の登場で場に緊張を与え、何か問題が起きていることを示唆。
56,僕はしつこいぞォォォ！！,人物：短髪で乱れた髪、ワイシャツ姿、正面を向き指を差している;表情：目を見開き口を大きく開け、必死で叫ぶ怒りや決意の表情;背景：集中線のみで場所や環境は描かれていない;効果：集中線で迫力と強調、汗や動線で緊張感を演出;トーン：緊張感と迫力が強く、感情が爆発している雰囲気;印象：強い自己主張や執念、諦めない意志が伝わる
57,嫌です！！,人物：若い男性、明るい髪、ネクタイとシャツ、肩に力が入り怒っている;表情：激怒し目を見開き歯を食いしばる、汗をかいている;背景：赤みがかった抽象的な背景、光が差し込む;効果：集中線や飛び散る線、汗や効果線で迫力を強調;トーン：非常に緊張感・迫力のある雰囲気;印象：強い拒絶と感情の爆発を読者に伝える
58,速い…こんなに速いのか…,人物：手術帽とマスクを着用した若い医師、正面を向き大きく目を見開いている;表情：驚きと焦りが混じった表情、額に汗がにじむ;背景：手術室と思われるが詳細不明、背景はシンプル;効果：顔のアップと汗、汗線やハッチングで緊張感を強調;トーン：緊張感が高く、切迫した雰囲気;印象：極限状態での医師の動揺と状況の異常さが読者に伝わる
59,動けエエエエ！！,人物：筋肉質な巨人で、鎧のような顔つき、力強く両手を握りしめている;表情：目を見開き、必死で強い決意や焦燥感が表れている;背景：周囲はエネルギーや風が渦巻くような動線、場所や時間は不明瞭;効果：強調された集中線や激しいスピード線で迫力を演出;トーン：緊迫感が高く、激しいエネルギーを感じさせる暗めの雰囲気;印象：絶体絶命の状況であがく強い意志と絶望が読者に伝わる
60,俺は…俺の決断を信じる…！！,人物：メガネとゴーグル、額当てを着用し、汗をかきながら真剣な表情の男性;表情：眉間にしわを寄せ、決意と緊張感が伝わる強い目つき;背景：具体的な場所は描かれていないが、手術や緊迫した現場の雰囲気;効果：細かな線や影で緊張感を強調し、集中線は使われていない;トーン：全体的に暗く重い、切迫感のある雰囲気;印象：読者に強い覚悟と自信、苦難に立ち向かう意志の強さが伝わる
61,ありがとう,人物：中年男性、濃い眉毛、短髪、正面を向いた顔のアップ;表情：穏やかで少し微笑んだ表情、感謝や安心感;背景：無地で白一色、場所や時間帯は特定できない;効果：細かい線とハッチングで陰影を表現;トーン：落ち着いた静かな雰囲気;印象：誠実さや重みのある「ありがとう」が伝わる
62,一番大切なのはよ…己に克つ力だぜ…,人物：太い眉と力強い表情の中年男性、顔のアップ、服装は描写なし;表情：真剣で決意に満ちた表情、強い意志を感じる;背景：線のみで場所や時間帯は明確でない;効果：斜線による陰影と緊張感の強調;トーン：重く緊張感があり真剣な雰囲気;印象：自己克服の重要性や男らしいメッセージが強く伝わる
63,すいませんでした！！,人物：白衣を着た若い男性、眼鏡、うつむき加減、前屈みの姿勢;表情：眉をしかめており、強い謝罪や後悔の感情が読み取れる;背景：室内、掲示物や書類が貼られた壁、診療所や研究室の一室;効果：大きなセリフ枠と擬音なしで緊張感を強調;トーン：全体的にシリアスで重苦しい雰囲気;印象：謝罪の真剣さと切迫感が伝わり、読者に緊張感を与える
64,逃げ出した奴が…いい人ぶるなよ…,人物：若い男性、前髪が目にかかり、顔が大きくアップで描かれている;表情：涙を浮かべつつ怒りと悲しみが混じる険しい表情;背景：背景は省略され、人物の顔に集中した構図;効果：太い線や影、涙で感情の高ぶりを強調;トーン：暗く重苦しい、緊迫感のある雰囲気;印象：葛藤や憤りが強く伝わり、読者に切迫した感情を残す
65,走れ！！救急信号が鳴ってんだぞ！！,人物：若い男性が汗だくで走り、Tシャツを着て必死な姿勢。後ろにもう一人男性。;表情：前の人物は目を見開き、口を大きく開け焦りや必死さを表現。;背景：背景は抽象的で線が多く、特定の場所や時間帯の描写なし。;効果：スピード線や集中線が走る動きを強調している。;トーン：緊迫した雰囲気で勢いと緊張感が強い。;印象：緊急事態への焦りや必死さ、今すぐ行動しなければならない切迫感が伝わる。
66,ナンセンスです　それはあなたの感情論だ,人物：スーツ姿で眼鏡をかけた男性、真面目な印象、直立した姿勢;表情：口を真一文字に結び、冷静かつ厳しい表情;背景：背景は白く、場所や時間帯は特定できない;効果：キャラ部分に濃淡トーン、効果線なし;トーン：全体的に冷たく緊張感のある雰囲気;印象：理論的かつ冷淡な人物像が伝わり、緊張感を与える
67,ご意見は十分に承りました,人物：短髪の中年男性、無地のTシャツとズボン着用、椅子に座り深々と頭を下げている。;表情：顔は見えないが、謝罪や反省の感情が強くうかがえる姿勢。;背景：暗い影が大きく描かれたシンプルな部屋、室内。;効果：人物の背後に強調された影で重苦しい雰囲気を演出。;トーン：全体的に暗く重苦しい、緊張感が漂う。;印象：強い謝罪や屈服、圧力に押しつぶされる心理状態が伝わる。
68,ここからがオレ達の仕事だ…,人物：太い眉と口ひげの中年男性、スーツ姿、タバコをくわえ迫力ある表情;表情：鋭い目つきで真剣、覚悟や決意を感じる;背景：線による抽象的な処理、場所や時間帯は不明;効果：集中線と濃淡トーンで緊張感を強調;トーン：全体的に暗く重い、シリアスな雰囲気;印象：読者に覚悟やプロ意識、緊張感が伝わる
69,すいませんなあ…さっきメシを食ったものでねむくって…,人物：中年男性、短髪、口ひげ、無精ひげ、無地の服、半分目を閉じている。;表情：まぶたが重く、眠そうでぼんやりした表情。;背景：背景は白一色で描写なし、場所や時間の特定不可。;効果：効果線・集中線なし、シンプルな描写のみ。;トーン：全体的にゆるく、緊張感のない雰囲気。;印象：読者に気の抜けた、日常的な緩い印象を与える。
70,父ちゃ〜ん腹へった〜父ちゃ〜ん父ちゃ〜ん,人物：三人の坊主頭の子供、シンプルな服、箸を持ち空の茶碗の前に座る;表情：大きく口を開けて叫び、空腹で必死な様子;背景：和風の食卓、特に時間帯や詳細な環境描写はなし;効果：セリフの吹き出し、擬音語「チャン」「チン」が強調;トーン：ややコミカルだが緊張感と切実さもある;印象：読者に空腹や家族の待ち遠しさ、貧しさをコミカルに伝える
71,拒否します,人物：眼鏡をかけたスーツ姿の男性、真っ直ぐ前を見据える;表情：眉をひそめた鋭い視線、強い決意や冷静さ;背景：単色のトーンで場所は不明、重要な対話シーンを強調;効果：顔の半分を覆う濃い影、緊張感と重圧を演出;トーン：暗く重苦しい雰囲気、緊張感が漂う;印象：断固とした意志、拒絶の強いメッセージが伝わる
72,オレ達は結局他人だ…,人物：中年男性、太眉、無精髭、下を向いている;表情：目を伏せ沈んだ表情、諦めや悲しみ;背景：黒ベタと集中線、室内か不明;効果：集中線でセリフを強調;トーン：暗く重い、シリアス;印象：孤独や距離感、冷たい現実を強調
73,何をおっしゃりたいのか…意味を分かりかねますが…,人物：中年の男性、スーツ姿、後ろに髪がある、口ひげ、正面を見据える姿勢。;表情：眉をしかめ、鋭い目つきで疑念や不信感を抱いている。;背景：書斎風の部屋、カーテン、窓、棚が見える、夜の室内。;効果：黒い集中線と影で緊張感を強調。;トーン：暗く重苦しい、疑念や対立の雰囲気。;印象：相手への不信感と警戒、真剣な対峙が強く伝わる。
74,全員共犯者だ,人物：メガネをかけた人物、顔の一部と目元が強調されている;表情：鋭い目つきで警戒心や怒りを感じさせる;背景：詳細な背景は描かれておらず、人物の目元がクローズアップ;効果：集中線や細かな斜線で緊張感を演出;トーン：全体的に暗くシリアスな雰囲気;印象：読者に緊迫感と重いメッセージを与える
75,くそ…,人物：短髪、強面、汗をかき歯を食いしばる男性;表情：怒りと悔しさが表れた険しい表情;背景：白く抜けており場所や時間帯の情報なし;効果：汗、歯ぎしり、震える線で心理描写強調;トーン：暗く、重苦しい雰囲気;印象：強い悔しさや焦燥感が伝わり緊張感が高い
