id,text
77,目をつぶってパソコンを使う練習をしてみた。
78,最近、仕事と勉強が多すぎてロボットになった気分。
79,発表会でピアノ弾くことになった…。
80,スマホの画面が割れたからテープで応急処置。
81,自分だけが見えない何かを見てしまったかも…。
82,朝、目覚まし何度も止めた。
83,今日の数学の授業、先生ロボットみたいに話してた。
84,あの激甘ドーナツ、15個食べた！
85,このゲーム、いつも納得いかない結末ばかり。
86,面接で「牛の鳴き真似得意です」って言っちゃった。
87,スーパーで特売品全部買っちゃった！
88,今日からおやつはソーセージ1本だけ。
89,今日からお砂糖断ち！
90,昨日の夢、まさかの俺がラスボスだった。
91,ごめん、君の誕生日忘れてた…。
92,今日から毎晩8時間寝るって決めた。
93,昨日起きたらもう夕方だった。
94,自分でコーヒー淹れたら、めちゃくちゃ苦くなった。
95,今日こそゴミ出し完璧！褒めて！
96,10時間勉強したのに試験範囲全部外れた…。
97,今日こそ布団から出るぞ…って思ってるんだけど、腹減った。
98,ブラックコーヒー飲めるようになった！大人になったな。
99,明日から毎日ランニングする！
100,週末の予定が全部キャンセルになった…。
101,今日、掃除機かけたけど音だけでゴミ取れてない気がする。
102,今日一日でオンライン会議5本！
103,二度寝して起きたら月曜日だった…。
104,忘れ物してきたかもしれないけど、家がどっちだったかな…？
105,昨日一晩で寝返り300回も打ってたらしい。
106,今日、俺のスマホついに言うこと聞かなくなった…。
107,今日のプレゼン、途中でPC固まったけど何とか乗り切った！
108,猫になりたい。
109,そろそろ本気で雨乞いしようか悩んでる…。
110,全部一人でできるようになった！
111,電車の中で居眠りしてたら終点だった。
112,今日もやっぱり月曜日がつらい。
113,宿題忘れた時の言い訳、もう限界かも。
114,スマホの充電ケーブル10回巻いたけど充電できない…。
115,明日からギター始めようかな…。
116,ガチャ引いたら一回でレア出た！
117,今日の満員電車、ほんとにサウナ状態。
118,明日から毎日会社に宇宙服で行こうと思う。
119,新しい仕事、寝坊して初出勤だってよ…。
120,今週の月曜、火曜、何故か休みにした。
121,今日もレタスだけでお腹いっぱいになった。
122,あれ？また家の鍵忘れちゃったかも…。
123,新しい家のWi-Fi、やっぱりめっちゃ速い！
124,部屋が散らかってきた。そろそろ掃除するか…。
125,今日こそ掃除機のスイッチ入れる！
126,風邪引いたと思ったら、一晩で治った！ミラクル！
127,算数のテストでちょっとだけカンニングしちゃったかも…。
128,今日の会議、スライドなしでプレゼンするわ。
129,好きなものは人と違っていいんだよね。
130,今日は朝から晩までアニメ一気見する！
131,大事なUSBメモリ、どこいった…。
132,急に腹が減ってきた…。
133,今日から砂糖断ち生活！
134,魚にだって悩みはあるんだぜ。
135,ちょっと3時間ほど昼寝してくる。
136,モテる人って実はあまりモテてないらしい。
137,寝坊した時は朝食抜きが一番らしい。
138,今日のプレゼン、ジョークを連発してみた。
139,今日、パスタ茹でたら麺が全部くっついた。
140,猫のゴロゴロ音って飼い主を騙そうとしてるらしい。
141,今日からこの会社に骨を埋める覚悟を決めました！
142,今日から無職！プロゲーマー目指すぞ！
143,これからは毎日早起きしてランニング！
144,椅子の上でバランスボール使って仕事したら効率上がった！
145,このサプリ飲むだけで5キロ痩せるらしい。
146,毎朝コーンフレーク山盛り食べるのが日課。
147,今日の仕事、30分で終わる気がする。
148,人前で発表したけど、言葉が全然出てこなかった…。
149,夢の中でドラゴンを倒した！
150,ピザは野菜なんだって。
151,このトレンドのファッション、本当に似合うと思う？
152,新しいスマホ、毎日再起動すると電池長持ちするらしい。
153,5分前に覚えた単語、もう思い出せない。
154,部屋の電気が勝手に点いたり消えたりするんだよね…。
155,久しぶりに体重計乗ったら電池切れてた。
156,あのゲーム、難易度めっちゃ低いらしい。
157,ギター始めてみたけど、チューニングすら怪しい…。
158,さっき天才的なアイディアを思いついた！
159,今朝のニュースで、何もしないことも大事って言ってた。
160,金曜の夕方にメール出さなきゃって焦ってたけど、土日休みだった。
161,今日からリーダーとして頑張るぞ！
162,宿題の締め切りがいつか分からないから来週までいいよね？
163,試験勉強は逆立ちしてやる予定。
164,冷蔵庫の奥から10年前のプリンが出てきた…。
165,美容院で最新トレンドカットにしてもらった！
166,バニラ味のプリンには本当はバニラ入ってないらしい。
167,毎日寝てばっかりで本当にカロリー消費してるのかな…。
168,今日5分寝たからもうバッチリ！
169,迷子になったかも…。
170,トヨタ車って全然見かけなくない？
171,100円あればジュース3本くらい買えるんだけど…。
172,年末ジャンボ3枚買ってきたから今年は当たる気がする！
173,ダイエットは明日から！
174,今日初めてダンスの練習してみた。10時間ぶっ続けで！
175,明日から人生すべて計画通りに進める！
176,カップラーメンにお湯注ぐ前に全部混ぜてみる。
177,人生初めてのジェットコースター。
178,今日のプレゼンで初めてパワポ使った。
179,昨日からスーパーで野菜が全部売り切れ。
180,昨日、靴下左右逆に履いて会社行っちゃった。
181,新作のドリンク、実はカロリーゼロらしいよ。
182,今日は寝坊して朝ごはんを食べ損ねた。
183,昨日は深夜にラーメン食べ過ぎた。今日から節制！
184,昨日の晩ご飯、具なしカレーが最高だった。
185,隣のクラスの人に告白された。
186,今日はハンバーガー9個食べた。
187,朝ごはん食べたら眠くなるって言うけど寝不足なだけらしい。
188,友達がタピオカミルクティー買ってくれただけで人生変わった気がする。
189,自転車って座ってる方が疲れるよね。
190,今日、また上司にコーヒーぶっかけちゃった…。
191,今日の天気は晴れのち豚カツ！
192,3日で腹筋割れるトレーニング見つけた！
193,体重が最高記録を更新。
194,宝くじ100枚買ったけど全部ハズレだった…。
195,今日はカレーライスにチョコを投入！
196,新しい髪型にしたら性格変わるって信じてる。
197,あの雲、動物の形になってる！
198,あの幽霊屋敷にまた行ってみる。
199,冷蔵庫に住みたい。
200,週末も仕事のこと考えちゃってるんだよね…。
201,今日の電車、めちゃくちゃ混んでた。
202,ドアノブを右に回したら開くよ。
203,とりあえず、10分で終わるって言ってた課題が実は3時間かかるらしい。
204,今日の掃除当番、全部忘れてた！
205,朝顔の成長記録、ちゃんと毎日書いてる。
206,長文書いたのに、閲覧数ゼロ…
207,昨日の晩ごはん、アイスとポテチだけだった。
208,最近、ペットボトルキャップの向きが気になる。
209,今日はちょっと元気が出ない…。
210,さっきコーヒー飲んだら一気に元気になった！
211,昨日ちょっとだけ手伝ったから、家の掃除はこれで完璧だよね？
212,プリンの上のカラメルソースってちょっと苦いよね。
213,電車で「次は終点です」ってアナウンス、ドキドキするよね。
214,新しいタピオカミルクティーのお店でタピオカが品切れだった。
215,ひざの上に猫が乗ってるから動けない…。
216,新しい靴、片方だけ派手色にしてみた！どうかな？
217,新年の抱負、挫折したらまた来年考えよう。
218,部屋の掃除、また来週でいいよね。
219,毎朝アラームが鳴る10分前に目が覚める。
220,あなたの宿題、犬に食べられたかも…。
221,昨日から3日ぶりに寝た。
222,明日雨で化学の授業が中止になるらしい。
223,今日の天気予報、晴れって言ってたけど絶対雨降るって！
224,今日の会議めっちゃ頑張ったから、もう休んでいいよね？
225,空を飛ぶ夢を見ると身長が縮むらしいよ。
226,なんか寒いから窓閉めようかな…。
227,友だちのペットが壁に向かってずっと話してる。
228,あの新しいゲーム、意外とつまらなかった。
229,ダイエット中だけど、ラーメンはカロリーゼロ！
230,新発売のこのドリンク、見た目は完全にジュース。
231,牛乳ってカルシウムより糖分が多いらしい。
232,大学の合格発表見たんだけど、完全に俺の名前あった！
233,今からダイエットのために毎日アイスを食べる！
234,電車のドアが閉まる直前に飛び乗ったけど反対方向だった。
235,新しい料理に挑戦してみた！
236,今日のクッキーのレシピ、砂糖を塩で代用してみた。
237,ついに500ピースのパズル完成！
238,ラーメン待つのに5分が限界。
239,このアイス、5秒で溶けるから気をつけて！
240,毎日SNSに投稿してれば、そのうちフォロワー増えるよね？
241,明日の株価、俺が予想してみせる！
242,今日カフェのラテアート、ぜんぶゴジラだった。
243,ピーマン放っといたら食べれそうな気がしてきた…。
244,今日の会議、絶対に始まらないと思う。
245,お笑い番組で笑わないように挑戦してる。
246,10分でタスク終わらせるから、ちょっと待ってて！
247,おでんにミルクティーを入れたら美味しいかもしれない。
248,うちのハムスター、犬みたいに吠えるんだよ！
249,DIYの工具を使ったことないけど、家具組み立ててみる。
